                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3288,                 2.8845,                 2.1438,                0.07877,                0.13526,                0.04174,                0.01316,                 2.5311,                 4.7708,                 2.7132,             0.00055022,             0.00055022,             0.00055022
                      2,                 2.2761,                 2.6513,                 2.1187,                0.11179,                0.20151,                0.08102,                0.02837,                 2.4582,                 4.3016,                 2.4913,              0.0011022,              0.0011022,              0.0011022
                      3,                 2.2324,                 2.6789,                 2.0989,                0.08597,                 0.1715,                 0.0448,                0.01408,                 2.5461,                 3.6252,                 2.4385,              0.0016506,              0.0016506,              0.0016506
                      4,                 2.2231,                 2.6732,                  2.085,                0.18348,                 0.1545,                0.09598,                0.03228,                 2.4237,                 2.9242,                 2.3206,              0.0016505,              0.0016505,              0.0016505
                      5,                 2.1846,                 2.6195,                 2.0521,                0.14608,                0.21596,                0.09787,                0.03441,                 2.3405,                 3.2152,                 2.2692,              0.0016505,              0.0016505,              0.0016505
                      6,                 2.1685,                   2.58,                 2.0236,                0.16457,                0.20429,                0.10069,                0.03613,                 2.2896,                 3.0614,                 2.1961,               0.001645,               0.001645,               0.001645
                      7,                 2.1548,                 2.5497,                 2.0287,                0.23584,                0.22078,                0.12921,                0.04687,                 2.2323,                 2.8326,                 2.1527,              0.0016395,              0.0016395,              0.0016395
                      8,                 2.1312,                 2.5409,                 2.0172,                0.23655,                0.25654,                0.16186,                0.05864,                 2.1824,                 2.7189,                 2.1344,               0.001634,               0.001634,               0.001634
                      9,                 2.1234,                 2.5413,                 2.0092,                0.17997,                 0.1861,                0.09657,                0.03231,                 2.3878,                  3.421,                  2.186,              0.0016285,              0.0016285,              0.0016285
                     10,                 2.0991,                 2.5143,                 1.9818,                0.28164,                0.20265,                0.14702,                0.05344,                   2.18,                 2.6601,                 2.1598,               0.001623,               0.001623,               0.001623
                     11,                 2.0892,                  2.495,                 2.0007,                0.23572,                0.22261,                0.15399,                0.05493,                 2.1925,                 2.6529,                 2.1066,              0.0016175,              0.0016175,              0.0016175
                     12,                 2.0842,                 2.4978,                 1.9742,                0.24592,                0.24168,                0.15933,                0.06032,                   2.21,                 2.7644,                 2.0991,               0.001612,               0.001612,               0.001612
                     13,                 2.0717,                 2.4521,                 1.9607,                0.22754,                0.21111,                 0.1438,                0.05382,                 2.2122,                 2.7966,                 2.1528,              0.0016065,              0.0016065,              0.0016065
                     14,                 2.0625,                 2.4535,                 1.9795,                 0.2589,                0.24079,                0.17056,                0.06321,                 2.1768,                 2.5932,                 2.1679,               0.001601,               0.001601,               0.001601
                     15,                 2.0486,                 2.4344,                 1.9537,                0.26125,                0.21395,                0.16849,                0.06282,                 2.1574,                 2.7622,                 2.1014,              0.0015955,              0.0015955,              0.0015955
                     16,                 2.0524,                 2.4021,                 1.9548,                0.25571,                0.22087,                 0.1656,                0.06039,                 2.1861,                 2.6692,                  2.089,                0.00159,                0.00159,                0.00159
                     17,                  2.047,                 2.4192,                 1.9458,                0.30313,                0.22671,                0.18152,                0.06953,                 2.1613,                  2.628,                  2.089,              0.0015845,              0.0015845,              0.0015845
                     18,                 2.0329,                 2.3831,                  1.924,                0.28014,                0.24166,                0.18793,                0.06902,                 2.1606,                 2.6393,                 2.1291,               0.001579,               0.001579,               0.001579
                     19,                 2.0208,                 2.3807,                 1.9147,                0.26892,                0.24455,                0.17338,                0.06809,                 2.1477,                 2.5757,                 2.0911,              0.0015735,              0.0015735,              0.0015735
                     20,                 2.0077,                 2.3559,                 1.9173,                0.30194,                0.23181,                0.19088,                0.07333,                 2.1301,                 2.6188,                 2.1315,               0.001568,               0.001568,               0.001568
                     21,                 2.0022,                 2.3857,                 1.9258,                0.27367,                0.23274,                0.18128,                0.06575,                 2.1689,                 2.7377,                 2.1459,              0.0015625,              0.0015625,              0.0015625
                     22,                 1.9858,                 2.3554,                 1.9071,                0.29698,                0.26929,                0.18996,                0.06988,                 2.1667,                  2.567,                 2.1033,               0.001557,               0.001557,               0.001557
                     23,                 2.0008,                 2.3317,                 1.9008,                 0.2938,                 0.2216,                0.17735,                 0.0719,                 2.1481,                 2.6063,                 2.1238,              0.0015515,              0.0015515,              0.0015515
                     24,                 1.9694,                 2.3196,                 1.8915,                0.26216,                0.24548,                0.15553,                0.05842,                 2.1753,                 2.5863,                 2.1312,               0.001546,               0.001546,               0.001546
                     25,                 1.9914,                 2.3248,                 1.8933,                0.26512,                0.26182,                 0.1769,                0.06569,                 2.1566,                 2.5817,                 2.1005,              0.0015405,              0.0015405,              0.0015405
