                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3398,                 3.0638,                 2.0561,                0.16945,                0.11714,                0.07439,                0.02283,                 2.3074,                  3.066,                 2.1988,             0.00055022,             0.00055022,             0.00055022
                      2,                 2.2108,                 2.6643,                 1.9597,                0.13324,                0.22243,                0.10166,                0.03473,                 2.2609,                 3.0414,                  2.073,              0.0011022,              0.0011022,              0.0011022
                      3,                 2.1597,                  2.614,                 1.9719,                0.16878,                0.19178,                0.10903,                0.03567,                 2.2747,                 2.9754,                 2.1901,              0.0016506,              0.0016506,              0.0016506
                      4,                 2.1599,                 2.5984,                  1.952,                0.16281,                0.23176,                0.09907,                0.03252,                 2.3174,                 3.2846,                  2.151,              0.0016505,              0.0016505,              0.0016505
                      5,                 2.1373,                 2.5596,                 1.9465,                0.29101,                 0.1365,                0.10473,                0.03588,                 2.4051,                 3.1687,                 2.0855,              0.0016505,              0.0016505,              0.0016505
                      6,                 2.1224,                 2.5297,                 1.9259,                0.18784,                 0.1812,                0.10585,                0.03621,                 2.3531,                 2.9306,                 2.1235,               0.001645,               0.001645,               0.001645
                      7,                 2.1138,                 2.5063,                 1.9205,                0.31445,                0.23355,                0.16499,                0.06176,                 2.1998,                 2.8225,                 2.0314,              0.0016395,              0.0016395,              0.0016395
                      8,                  2.101,                 2.5092,                 1.9188,                0.21884,                0.20619,                0.14766,                0.05246,                 2.2251,                 2.7343,                  2.047,               0.001634,               0.001634,               0.001634
                      9,                  2.086,                 2.4989,                 1.8964,                0.18735,                0.19962,                 0.1294,                0.04571,                 2.2667,                 2.9823,                 1.9913,              0.0016285,              0.0016285,              0.0016285
                     10,                 2.0636,                 2.4714,                 1.8796,                0.23962,                0.22172,                0.15257,                0.05818,                 2.1665,                 2.6339,                 2.0329,               0.001623,               0.001623,               0.001623
                     11,                 2.0728,                 2.4613,                 1.9018,                0.23268,                0.19946,                0.14156,                0.05192,                 2.2145,                 2.6378,                 2.0138,              0.0016175,              0.0016175,              0.0016175
                     12,                 2.0504,                 2.4547,                 1.8873,                 0.2557,                0.21854,                0.16769,                0.06306,                 2.2031,                 2.6559,                 2.0547,               0.001612,               0.001612,               0.001612
                     13,                 2.0503,                 2.4079,                  1.879,                0.22971,                0.25039,                0.15924,                0.05929,                 2.1881,                 2.6215,                 2.0363,              0.0016065,              0.0016065,              0.0016065
                     14,                  2.043,                 2.4242,                 1.8903,                0.22036,                0.25998,                0.15437,                0.05636,                 2.1608,                 2.5914,                 2.0419,               0.001601,               0.001601,               0.001601
                     15,                 2.0279,                  2.406,                 1.8771,                0.24698,                0.23598,                0.16941,                0.05986,                 2.1969,                 2.5772,                 2.0008,              0.0015955,              0.0015955,              0.0015955
                     16,                 2.0442,                 2.3886,                 1.8832,                0.21685,                0.20226,                0.14838,                0.05437,                 2.2057,                 2.7213,                 2.0805,                0.00159,                0.00159,                0.00159
                     17,                 2.0238,                 2.3981,                 1.8629,                 0.2244,                0.23603,                0.15025,                0.05445,                  2.185,                 2.6261,                 2.0185,              0.0015845,              0.0015845,              0.0015845
                     18,                 2.0167,                 2.3733,                  1.857,                 0.2825,                0.22495,                0.17194,                0.06543,                  2.153,                 2.6468,                 2.0135,               0.001579,               0.001579,               0.001579
                     19,                 2.0114,                 2.3661,                 1.8422,                0.22017,                0.24364,                0.15467,                0.05851,                 2.1725,                 2.7099,                 1.9838,              0.0015735,              0.0015735,              0.0015735
                     20,                 2.0035,                 2.3415,                  1.843,                0.28272,                0.23266,                0.18345,                0.06973,                  2.131,                 2.5827,                  1.991,               0.001568,               0.001568,               0.001568
