                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.33,                 2.9507,                 2.1103,                 0.0917,                0.16306,                 0.0598,                0.02064,                 2.2965,                 4.1575,                  2.351,             0.00055022,             0.00055022,             0.00055022
                      2,                  2.228,                 2.6074,                 2.0412,                 0.1544,                0.18477,                0.08954,                0.02982,                 2.4298,                 3.7159,                 2.2658,              0.0011022,              0.0011022,              0.0011022
                      3,                   2.19,                 2.6185,                 2.0153,                  0.135,                0.21505,                0.09667,                0.03214,                 2.4251,                 3.4372,                 2.2541,              0.0016506,              0.0016506,              0.0016506
                      4,                  2.189,                 2.6042,                 2.0213,                0.18848,                0.20241,                0.11862,                0.04276,                 2.3084,                 2.9244,                 2.1709,              0.0016505,              0.0016505,              0.0016505
                      5,                 2.1445,                 2.5609,                 1.9915,                0.20038,                0.21207,                0.11102,                0.03873,                 2.3448,                 3.1401,                 2.1467,              0.0016505,              0.0016505,              0.0016505
                      6,                 2.1358,                 2.5271,                  1.964,                0.17511,                0.21086,                0.11997,                0.04488,                 2.2771,                  3.052,                 2.1635,               0.001645,               0.001645,               0.001645
                      7,                 2.1146,                 2.5086,                  1.967,                0.21227,                0.23702,                0.14814,                0.05245,                 2.2212,                 2.6858,                 2.0943,              0.0016395,              0.0016395,              0.0016395
                      8,                 2.1074,                  2.495,                 1.9591,                0.25926,                0.20982,                0.15469,                0.05863,                 2.2106,                 2.7879,                 2.1439,               0.001634,               0.001634,               0.001634
                      9,                 2.0798,                 2.4998,                 1.9439,                0.25543,                0.23305,                0.15388,                0.05632,                 2.1987,                  2.654,                 2.0532,              0.0016285,              0.0016285,              0.0016285
                     10,                 2.0589,                 2.4802,                 1.9247,                0.23058,                0.26384,                0.16869,                0.05703,                 2.1912,                 2.6678,                 2.0973,               0.001623,               0.001623,               0.001623
                     11,                  2.062,                 2.4482,                 1.9544,                0.25615,                0.22624,                0.14754,                0.05411,                 2.1572,                 2.6996,                 2.1006,              0.0016175,              0.0016175,              0.0016175
                     12,                 2.0363,                 2.4314,                 1.9132,                 0.2595,                0.23402,                0.18129,                0.06728,                 2.2138,                 2.5176,                 2.0353,               0.001612,               0.001612,               0.001612
                     13,                  2.042,                 2.3859,                 1.8863,                 0.2316,                0.24176,                0.15937,                 0.0592,                 2.2045,                 2.6646,                 2.0692,              0.0016065,              0.0016065,              0.0016065
                     14,                 2.0199,                 2.3994,                 1.8893,                0.24877,                0.23792,                0.17007,                0.06253,                 2.2135,                 2.6431,                 2.1097,               0.001601,               0.001601,               0.001601
                     15,                 2.0224,                 2.3775,                 1.9018,                0.23359,                0.23777,                 0.1608,                0.05588,                 2.1967,                 2.6971,                 2.0778,              0.0015955,              0.0015955,              0.0015955
                     16,                 2.0257,                 2.3697,                 1.8955,                0.27607,                0.23294,                 0.1763,                 0.0622,                 2.1423,                 2.6189,                  2.038,                0.00159,                0.00159,                0.00159
