                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75954,                   2.83,                 1.2239,                 0.8754,                0.92473,                0.94523,                0.72638,                 1.2753,                0.84823,                 1.1852,                      0,                      0,                      0
                      2,                0.97377,                 2.7548,                 1.3172,                0.87617,                 0.9265,                0.95019,                0.72708,                 1.2766,                0.84591,                 1.1854,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.98427,                  1.857,                 1.2227,                0.87882,                0.92091,                0.94878,                0.72701,                 1.2795,                0.84714,                 1.1833,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.0858,                 1.8378,                 1.5386,                 0.8806,                0.91451,                0.94884,                0.71018,                 1.2775,                0.85528,                 1.1832,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.2737,                 2.0194,                 1.6957,                 0.8781,                0.91905,                0.95503,                0.71239,                  1.272,                0.85027,                 1.1819,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.63354,                 2.4268,                 1.1709,                0.87278,                0.91981,                0.95689,                0.70684,                 1.2862,                0.84741,                 1.1845,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1211,                 2.8553,                 1.4598,                0.85998,                0.92259,                0.95629,                0.69729,                 1.2861,                0.85237,                 1.1825,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.87709,                 2.4379,                 1.2761,                0.85277,                0.91696,                0.95593,                0.69751,                 1.2821,                0.86206,                 1.1818,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.0576,                 2.1807,                 1.2545,                0.84866,                0.91702,                0.95631,                  0.692,                 1.2821,                0.86851,                 1.1823,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                  1.138,                  2.696,                   1.44,                 0.8491,                0.91862,                0.95704,                0.69299,                 1.2816,                0.87231,                 1.1849,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.73141,                 1.3187,                 1.0763,                 0.8333,                0.90824,                0.95708,                0.68963,                 1.2923,                 0.8729,                 1.1835,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.2439,                 2.8152,                 1.8459,                0.83673,                0.92087,                0.96069,                0.68885,                 1.2935,                0.87928,                 1.1875,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.91583,                 1.4281,                 1.4118,                0.81987,                0.91831,                0.95955,                0.68873,                 1.3001,                0.88983,                 1.1918,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.87012,                 1.7613,                 1.2519,                0.82129,                0.89634,                0.96066,                0.68123,                 1.3047,                0.89418,                 1.2001,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                  1.036,                 2.2418,                 1.4862,                0.81184,                0.85824,                0.90915,                0.67653,                   1.31,                0.91306,                   1.21,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.0745,                  1.893,                 1.3196,                0.74407,                0.85894,                0.91884,                0.69594,                 1.3327,                0.93098,                 1.2303,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.2835,                 1.7207,                  1.764,                  0.741,                0.85868,                0.93211,                 0.6686,                 1.3448,                0.95453,                 1.2388,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.2636,                 3.0687,                 1.5888,                  0.741,                0.85868,                0.93211,                 0.6686,                 1.3448,                0.95453,                 1.2388,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.75083,                0.79257,                 1.2047,                0.70951,                0.86101,                0.88192,                0.68553,                 1.3159,                0.97517,                 1.2335,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.87252,                 1.1446,                 1.3139,                0.70951,                0.86101,                0.88192,                0.68553,                 1.3159,                0.97517,                 1.2335,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.7246,                 3.4675,                  2.226,                0.69076,                 0.8634,                0.88502,                0.68098,                 1.3306,                0.99576,                 1.2488,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.74106,                 1.0674,                  1.104,                0.69076,                 0.8634,                0.88502,                0.68098,                 1.3306,                0.99576,                 1.2488,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.83497,                 1.4514,                 1.2583,                0.60546,                0.86274,                0.88452,                0.68242,                 1.3423,                 1.0385,                 1.2793,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.82036,                 1.1006,                 1.1514,                0.60546,                0.86274,                0.88452,                0.68242,                 1.3423,                 1.0385,                 1.2793,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.92009,                 1.2814,                 1.2832,                0.72367,                0.76667,                 0.8876,                0.67996,                 1.3901,                 1.0764,                 1.3382,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.77227,                 1.0056,                 1.2574,                0.72367,                0.76667,                 0.8876,                0.67996,                 1.3901,                 1.0764,                 1.3382,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.74921,                0.94803,                   1.14,                0.71493,                0.76667,                0.89273,                0.68068,                  1.411,                 1.1079,                 1.3556,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.99517,                 1.2229,                 1.3609,                0.71493,                0.76667,                0.89273,                0.68068,                  1.411,                 1.1079,                 1.3556,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.83457,                 2.0323,                 1.2162,                0.69859,                0.76667,                0.89432,                 0.6875,                 1.4104,                 1.1194,                 1.3658,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.50045,                0.86388,                 0.9904,                0.69859,                0.76667,                0.89432,                 0.6875,                 1.4104,                 1.1194,                 1.3658,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.82896,                 1.0646,                 1.1436,                0.66822,                0.76984,                0.90211,                0.67585,                 1.4082,                 1.1307,                 1.3659,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.67824,                0.56565,                 1.0455,                0.66822,                0.76984,                0.90211,                0.67585,                 1.4082,                 1.1307,                 1.3659,             2.5568e-05,             2.5568e-05,             2.5568e-05
